#,formula,activity,Syngony,"length, nm","width, nm","depth, nm",surface,pol,surf,"Mw(coat), g/mol","Km, mM","Vmax, mM/s",ReactionType,"C min, mM","C max, mM","C(const), mM",Ccat(mg/mL),ph,"temp, °C",Zpotential,"SurfaceArea, m^2/g ",link
11,CoFe2O4,peroxidase,7,14,14,14,naked,0,0,0,0.0752,0.000255451,H2O2 + TMB,0.001,100,15,0.008,6,25,,,https://doi.org/10.1039/C1CC14300J
12,MnFe2O4,peroxidase,7,4,4,4,naked,oleic acid,0,282.47,0.0015,6.98,TMB + H2O2,0.001,1.11,10,0.0005,3.5,37,,,https://doi.org/10.1039/C5DT01585E
13,MnFe2O4,peroxidase,7,16,16,16,naked,oleic acid,0,282.47,0.0964,0.353,TMB + H2O2,0.001,1.11,10,0.0005,3.5,37,,,https://doi.org/10.1039/C5DT01585E
14,MnFe2O4,peroxidase,7,18,18,18,naked,oleic acid,0,282.47,0.0258,1.55,TMB + H2O2,0.001,1.11,10,0.0005,3.5,37,,,https://doi.org/10.1039/C5DT01585E
15,MnFe2O4,peroxidase,7,27,27,27,naked,oleic acid,0,282.47,0.033,0.73,TMB + H2O2,0.001,1.11,10,0.0005,3.5,37,,,https://doi.org/10.1039/C5DT01585E
16,MnFe2O4,peroxidase,7,4,4,4,naked,oleic acid,0,282.47,0.112,7.15,H2O2 + TMB,0.001,24,1.5,0.0005,3.5,37,,,https://doi.org/10.1039/C5DT01585E
17,MnFe2O4,peroxidase,7,16,16,16,naked,oleic acid,0,282.47,0.543,0.515,H2O2 + TMB,0.001,24,1.5,0.0005,3.5,37,,,https://doi.org/10.1039/C5DT01585E
18,MnFe2O4,peroxidase,7,18,18,18,naked,oleic acid,0,282.47,0.242,4.94,H2O2 + TMB,0.001,24,1.5,0.0005,3.5,37,,33.8,https://doi.org/10.1039/C5DT01585E
19,MnFe2O4,peroxidase,7,27,27,27,naked,oleic acid,0,282.47,0.304,1.76,H2O2 + TMB,0.001,24,1.5,0.0005,3.5,37,,33.8,https://doi.org/10.1039/C5DT01585E
20,MnFe2O4,peroxidase,7,6,6,6,naked,0,citric acid,192.12,0.605,0.0000538,TMB + H2O2,0.001,0.8,0,0.04,3.5,25,,,https://doi.org/10.1016/j.colsurfa.2011.08.008
21,MnFe2O4,peroxidase,7,6,6,6,naked,0,citric acid,192.12,0.528,0.0000215,H2O2 + TMB,0.001,14,0.8,0.04,3.5,25,,,https://doi.org/10.1016/j.colsurfa.2011.08.008
22,MgFe2O4,peroxidase,7,220,220,220,naked,poly(ethylene oxide),0,20000,0.67,0.0000209,TMB + H2O2,,0.4,,0.04,4,45,16.1,20.82,https://doi.org/10.1016/j.bios.2014.07.048
23,MgFe2O4,peroxidase,7,220,220,220,naked,poly(ethylene oxide),0,20000,0.14,0.0001254,ABTS + H2O2,0.12,0.4,12,0.04,4,45,16.1,20.82,https://doi.org/10.1016/j.bios.2014.07.048
24,MgFe2O4,peroxidase,7,220,220,220,naked,poly(ethylene oxide),0,20000,4.61,0.0001346,H2O2 + TMB,1,20,0.4,0.04,4,45,16.1,20.82,https://doi.org/10.1016/j.bios.2014.07.048
25,NiFe2O4,peroxidase,7,200,200,200,naked,poly(ethylene oxide),0,20000,0.55,0.0000457,TMB + H2O2,,,,0.04,4,45,11.3,20.82,https://doi.org/10.1016/j.bios.2014.07.048
26,NiFe2O4,peroxidase,7,200,200,200,naked,poly(ethylene oxide),0,20000,0.46,0.0001748,ABTS + H2O2,0.12,0.4,12,0.04,4,45,11.3,20.82,https://doi.org/10.1016/j.bios.2014.07.048
27,NiFe2O4,peroxidase,7,200,200,200,naked,poly(ethylene oxide),0,20000,2.6,0.0001411,H2O2 + TMB,1,20,0.4,0.04,4,45,11.3,20.82,https://doi.org/10.1016/j.bios.2014.07.048
28,ZnFe2O4,peroxidase,7,104,27,27,naked,0,0,0,490.72,0.0000632,H2O2 + TMB,9.5,634,10,1.6666667,4,25,,,https://doi.org/10.1039/C5NJ02547H
29,ZnFe2O4,peroxidase,7,104,27,27,naked,0,0,0,0.509,0.0000918,TMB + H2O2,36,678,176,1.6666667,4,25,,,https://doi.org/10.1039/C5NJ02547H
30,ZnFe2O4,peroxidase,7,200,200,200,naked,poly(ethylene oxide),ethylene glycol,20000,0.85,0.0001331,TMB + H2O2,0.1,1.6,0.2,0.04,4,40,-10,20.82,https://doi.org/10.1021/ac300939z
31,ZnFe2O4,peroxidase,7,200,200,200,naked,poly(ethylene oxide),ethylene glycol,20000,1.66,0.0000774,H2O2 + TMB,0.001,16,0.32,0.04,4,40,-10,20.82,https://doi.org/10.1021/ac300939z
32,NiCo2O4,peroxidase,2,100,100,100,naked,0,ethylene glycol,62.07,0.142,0.00002223,TMB + H2O2,0.01,1.5,0.2,0.02,4,37,,115,https://doi.org/10.1016/j.aca.2016.11.035
33,NiCo2O4,peroxidase,2,100,100,100,naked,0,ethylene glycol,62.07,9.406,0.0002584,H2O2 + TMB,0.1,20,4,0.02,4,37,,115,https://doi.org/10.1016/j.aca.2016.11.035
34,CdCo2O4,peroxidase,7,250,50,50,naked,poly(ethylene oxide),0,200,0.317,0.0000219,TMB + H2O2,0.1,8,3,0.2,4,35,,72,https://doi.org/10.1007/s00604-020-04298-4
35,CdCo2O4,peroxidase,7,250,50,50,naked,poly(ethylene oxide),0,200,0.325,0.0000375,H2O2 + TMB,0.1,3,8,0.2,4,35,,72,https://doi.org/10.1007/s00604-020-04298-4
36,CuWO4,peroxidase,1,66,66,66,naked,0,0,0,0.2,0.00472,TMB + H2O2,0.01,0.62,4.7,1,3,28,,,https://doi.org/10.1016/j.snb.2017.06.175
37,CuWO4,peroxidase,1,66,66,66,naked,0,0,0,0.38,0.000113,H2O2 + TMB,0.2,2.1,0.24,1,3,28,,,https://doi.org/10.1016/j.snb.2017.06.175
38,FeWO4,peroxidase,2,5000,5000,1600,naked,0,0,0,1.18,0.0001148,TMB + H2O2,0.02,0.6,370,0.038,3,40,,,https://doi.org/10.1021/ie504114v
39,FeWO4,peroxidase,2,5000,5000,1600,naked,0,0,0,0.59,0.0000218,H2O2 + TMB,0.2,10,0.19,0.038,3,40,,,https://doi.org/10.1021/ie504114v
40,Co2V2O7,peroxidase,2,250,250,250,naked,0,0,0,0.311,0.0000258,TMB + H2O2,0.05,0.4,8,0.03,5,30,,,https://doi.org/10.1021/acsabm.9b01107
41,Co2V2O7,peroxidase,2,250,250,250,naked,0,0,0,0.669,0.0000125,H2O2 + TMB,0.5,7,0.5,0.03,5,30,,,https://doi.org/10.1021/acsabm.9b01107
42,FeVO4,peroxidase,3,2000,100,100,naked,0,0,0,0.691,0.0000251,TMB + H2O2,0.1,0.8,10,0.1,4,25,,67.97,https://doi.org/10.1016/j.snb.2016.04.041
43,FeVO4,peroxidase,3,2000,100,100,naked,0,0,0,0.0732,0.0000272,H2O2 + TMB,10,250,0.8,0.1,4,25,,67.97,https://doi.org/10.1016/j.snb.2016.04.041
44,AgVO3,peroxidase,2,2000,500,500,naked,0,0,0,0.333,no,TMB + H2O2,0.05,1,0.6,0.02,4,25,,,https://doi.org/10.1007/s00604-017-2562-z
45,AgVO3,peroxidase,2,2000,500,500,naked,0,0,0,1.3,no,H2O2 + TMB,0.05,1,0.4,0.02,4,25,,,https://doi.org/10.1007/s00604-017-2562-z
46,AgVO3,peroxidase,2,800,54,54,naked,0,0,0,0.0412,no,TMB + H2O2,0.01,0.3,8,0.0045,4,25,,,https://doi.org/10.1002/jccs.201700031
47,AgVO3,peroxidase,2,800,54,54,naked,0,0,0,5.291,no,H2O2 + TMB,1,50,0.1,0.0045,4,25,,,https://doi.org/10.1002/jccs.201700031
48,CoMoO4,peroxidase,2,5000,300,300,naked,0,0,0,0.077,0.0005105,TMB + H2O2,0.1,0.8,20,0.015,4,25,-12.56,61.56,https://doi.org/10.1007/s00604-020-04376-7
49,AgVO3,peroxidase,2,1500,100,100,naked,0,0,0,8.03,no,TMB + H2O2,0.6,1.6,10,0.3,5,25,,,https://doi.org/10.1007/s00604-015-1670-x
50,AgVO3,peroxidase,2,1500,100,100,naked,0,0,0,14,no,H2O2 + TMB,1,50,0.8,0.3,5,25,,,https://doi.org/10.1007/s00604-015-1670-x
51,CoMoO4,peroxidase,2,5000,300,300,naked,0,0,0,1.115,0.0001162,H2O2 + TMB,1,50,8,0.015,4,25,-12.56,61.56,https://doi.org/10.1007/s00604-020-04376-7
52,CuMnO2,peroxidase,2,100,100,1.6,naked,0,0,0,0.577,0.0000815,TMB + H2O2,0.1,1.5,100,0.01,4.5,25,,,https://doi.org/10.1016/j.snb.2018.09.120
53,CuMnO2,peroxidase,2,100,100,1.6,naked,0,0,0,27.653,0.0002765,H2O2 + TMB,1,200,500,0.01,4.5,25,,,https://doi.org/10.1016/j.snb.2018.09.120
54,Cu0.89Zn0.11O,peroxidase,5,7.5,7.5,7.5,naked,0,0,0,10,0.00002877,TMB + H2O2,0.2,10,200,0.1,4.65,25,,,https://doi.org/10.1021/acsami.6b05354
55,Cu0.89Zn0.11O,peroxidase,5,7.5,7.5,7.5,naked,0,0,0,71,0.000003,H2O2 + TMB,10,100,10,0.1,4.65,25,,,https://doi.org/10.1021/acsami.6b05354
56,Fe2(MoO4)3,peroxidase,3,2000,200,200,naked,0,0,0,1.126,0.0000373,TMB + H2O2,0.1,0.8,10,0.3,4,25,-12.33,67.95,https://doi.org/10.1007/s00604-016-1955-8
57,Fe2(MoO4)3,peroxidase,3,2000,200,200,naked,0,0,0,0.106,0.0000751,H2O2 + TMB,2,50,8,0.3,4,25,-12.33,67.95,https://doi.org/10.1007/s00604-016-1955-8
58,(CeO2)0.10/CoO,peroxidase,7,600,600,600,naked,0,0,0,0.245,0.0001478,H2O2 + TMB,0.1,1,0.02,0.03,5,25,30,158.25,https://doi.org/10.1021/acssuschemeng.0c06920
59,(CeO2)0.10/CoO,peroxidase,7,600,600,600,naked,0,0,0,0.133,0.001101,TMB + H2O2,0.02,0.2,20,0.03,5,25,30,158.25,https://doi.org/10.1021/acssuschemeng.0c06920
60,CoO/CeO2,peroxidase,7,1500,100,100,naked,0,0,0,1.81,0.000027,TMB + H2O2,0.3,3,0.1,0.0833333,3.6,25,,197.2,https://doi.org/10.1016/j.apmt.2019.03.009
61,CoO/CeO2,peroxidase,7,1500,100,100,naked,0,0,0,0.021,0.000028,H2O2 + TMB,0.01,0.13,3,0.0833333,3.6,25,,197.2,https://doi.org/10.1016/j.apmt.2019.03.009
62,Co3O4/CeO2,peroxidase,7,2000,200,200,naked,poly(N-Vinylpyrrolidone),0,,0.36,0.0001666,TMB + H2O2,1,3,1.2,3,6,30,,,https://doi.org/10.1016/j.snb.2019.01.068
63,Co3O4/CeO2,peroxidase,7,1003,103,103,naked,poly(N-Vinylpyrrolidone),0,,132.21,0.0000434,H2O2 + TMB,50,500,0.8,3,6,30,,,https://doi.org/10.1016/j.snb.2019.01.068
64,Fe3O4@CeO2,peroxidase,7,630,630,630,naked,0,0,0,0.15,0.0000064,TMB + H2O2,0.05,1,50,0.1662434,3.5,40,,38.4,https://doi.org/10.1016/j.jtice.2017.12.011
65,Fe3O4@CeO2,peroxidase,7,630,630,630,naked,0,0,0,1.13,0.000125,H2O2 + TMB,0.5,4,100,0.1662434,3.5,40,,38.4,https://doi.org/10.1016/j.jtice.2017.12.011
66,Pd/CeO2,peroxidase,7,59,27,27,naked,0,0,0,0.39,0.0000594,TMB + H2O2,0.01,1,327,0.00167,4,30,,,https://doi.org/10.1007/s10853-018-2657-x
67,Pd/CeO2,peroxidase,7,59,27,27,naked,0,0,0,9.43,0.0000191,H2O2 + TMB,0.001,1 000.0000,0.167,0.00167,4,30,,,https://doi.org/10.1007/s10853-018-2657-x
68,Ce-Fe3O4,peroxidase,7,15,15,15,naked,0,0,0,0.018,0.0000125,TMB + H2O2,0.005,0.3,0.4,0.015,4,25,,,https://doi.org/10.1039/C7AY00750G
69,Ce-Fe3O4,peroxidase,7,15,15,15,naked,0,0,0,6.942,0.0005,H2O2 + TMB,0.005,0.4,0.2,0.015,4,25,,,https://doi.org/10.1039/C7AY00750G
70,Fe3O4-MnO2,peroxidase,4,2000,2000,2000,naked,0,0,0,0.101,0.0000057,TMB + H2O2,0.05,0.3,20,0.1662434,4,40,,76.75,https://doi.org/10.1016/j.procbio.2019.05.014
71,Fe3O4-MnO2,peroxidase,4,2000,2000,2000,naked,0,0,0,0.041,0.0000294,H2O2 + TMB,0.001,1,0.3,0.1662434,4,40,,76.75,https://doi.org/10.1016/j.procbio.2019.05.014
72,Pt-WO2.72,peroxidase,2,30,17,17,naked,0,0,0,0.105,no,TMB + H2O2,0.3,0.3,20,0.005,4,40,,,https://doi.org/10.1007/s00216-019-02268-1
73,Pt-WO2.72,peroxidase,2,30,17,17,naked,0,0,0,8.45,no,H2O2 + TMB,20,20,0.3,0.005,4,40,,,https://doi.org/10.1007/s00216-019-02268-1
74,Fe3O4,peroxidase,7,15,15,15,naked,0,0,0,0.107,0.0000362,TMB + H2O2,0.005,0.3,0.4,0.015,4,25,,,https://doi.org/10.1039/C7AY00750G
75,Fe3O4,peroxidase,7,15,15,15,naked,0,0,0,155,0.0000911,H2O2 + TMB,0.005,0.4,0.2,0.015,4,25,,,https://doi.org/10.1039/C7AY00750G
76,Fe3O4,peroxidase,7,169.1,169.1,169.1,naked,0,0,0,0.23,no,TMB + H2O2,0.816,0.816,530,no,4,25,,34.5,https://doi.org/10.1002/chem.201001789
77,Fe3O4,peroxidase,7,215.7,185,185,naked,0,0,0,0.46,no,TMB + H2O2,0.816,0.816,530,no,4,25,,11.7,https://doi.org/10.1002/chem.201001789
78,Fe3O4,peroxidase,7,222.8,222.8,222.8,naked,0,0,0,0.58,no,TMB + H2O2,0.816,0.816,530,no,4,25,,9.1,https://doi.org/10.1002/chem.201001789
79,Fe3O4,peroxidase,7,246.6,246.6,246.6,naked,0,0,0,3.89,0.0001493,TMB + H2O2,0.05,0.3,20,0.1662434,4,40,,20.82,https://doi.org/10.1016/j.procbio.2019.05.014
80,Fe3O4,peroxidase,7,246.6,246.6,246.6,naked,0,0,0,2.46,0.0000962,H2O2 + TMB,0.001,1,0.3,0.1662434,4,40,,20.82,https://doi.org/10.1016/j.procbio.2019.05.014
81,MnO2,peroxidase,4,2000,2000,2000,naked,0,0,0,1.41,0.0000396,TMB + H2O2,0.05,0.3,20,0.1662434,4,40,,33.76,https://doi.org/10.1016/j.procbio.2019.05.014
82,MnO2,peroxidase,4,2000,2000,2000,naked,0,0,0,1.34,0.0000775,H2O2 + TMB,0.001,1,0.3,0.1662434,4,40,,33.76,https://doi.org/10.1016/j.procbio.2019.05.014
83,CuO,peroxidase,2,5,5,5,naked,0,0,0,25,0.0001049,TMB + H2O2,0.2,10,200,0.1,4.65,37,,,https://doi.org/10.1021/acsami.6b05354
84,CuO,peroxidase,2,5,5,5,naked,0,0,0,400,0.000161,H2O2 + TMB,10,100,10,0.1,4.65,37,,,https://doi.org/10.1021/acsami.6b05354
85,GeO2,peroxidase,4,1000,100,100,naked,0,0,0,0.42,0.00023397,TMB + H2O2,0.001,1,4,0.1,4,37,,,https://doi.org/10.1002/adfm.202001933
86,GeO2,peroxidase,4,1000,100,100,naked,0,0,0,1.75,0.000234,H2O2 + TMB,0.001,4,1,0.1,4,37,,,https://doi.org/10.1002/adfm.202001933
87,MoO2,peroxidase,2,44.6,20.8,20.8,naked,0,0,0,0.014,0.0000041,H2O2 + TMB,0.01,0.12,0.02,0.0256,4,25,,,https://doi.org/10.1016/j.saa.2019.117412
88,MoO2,peroxidase,2,44.6,20.8,20.8,naked,0,0,0,8.85,0.000052,TMB + H2O2,0.2,1.7,0.8,0.0256,4,25,,,https://doi.org/10.1016/j.saa.2019.117412
89,WO3,peroxidase,4,30,6,6,naked,0,0,0,10.6,0.0000153,TMB + H2O2,0.2,1.4,0.06,0.0016,2,25,-28.4,,https://doi.org/10.1016/j.talanta.2019.06.003
90,WO3,peroxidase,4,30,6,6,naked,0,0,0,1260,0.00003,H2O2 + TMB,0.02,0.14,1.4,0.0016,2,25,-28.4,,https://doi.org/10.1016/j.talanta.2019.06.003
91,WO2.92,peroxidase,7,1.33,1.33,1.33,naked,0,0,0,0.79,no,ABTS + H2O2,0.001,4,4,0.35,6,37,,,https://doi.org/10.1016/j.aca.2017.09.011
92,WO2.92,peroxidase,7,1.33,1.33,1.33,naked,0,0,0,1.26,no,H2O2 + TMB,0.001,6,0.8,0.35,6,37,,,https://doi.org/10.1016/j.aca.2017.09.011
93,W18O49,peroxidase,2,100,100,100,naked,0,0,0,0.003,0.00124,TMB + H2O2,0.025,0.8,50,0.05,4,35,,136.13,https://doi.org/10.1007/s11051-018-4271-x
94,W18O49,peroxidase,2,100,100,100,naked,0,0,0,8.734,0.00122,H2O2 + TMB,3.25,200,0.6,0.05,4,35,,136.13,https://doi.org/10.1007/s11051-018-4271-x
95,Au,peroxidase,7,14,14,14,naked,0,citric acid,192.12,0.2,0.0000559,TMB + H2O2,0.584,0.584,373,0.0478,3.6,25,,,https://doi.org/10.1166/jnn.2018.13977
96,Au,peroxidase,7,14,14,14,naked,0,citric acid,192.12,572.98,0.0000977,H2O2 + TMB,373,373,0.584,0.0478,3.6,25,,,https://doi.org/10.1166/jnn.2018.13977
97,Au,peroxidase,7,14,14,14,naked,0,0,0,92.3,0.0000311,ABTS + H2O2,0.584,0.584,373,0.0478,3.6,25,,,https://doi.org/10.1166/jnn.2018.13977
98,Au,peroxidase,7,14,14,14,naked,0,0,0,546.6,0.0000504,H2O2 + TMB,373,373,0.584,0.0478,3.6,25,,,https://doi.org/10.1166/jnn.2018.13977
99,Fe2O3,peroxidase,7,14.5,14.5,14.5,naked,0,0,0,0.298,0.0000736,TMB + H2O2,0.01,1,700,0.005,3.5,25,10,125,https://doi.org/10.1039/C8TB01132J
100,Fe2O3,peroxidase,7,14.5,14.5,14.5,naked,0,0,0,146.7,0.0000637,H2O2 + TMB,10,1 000.0000,0.8,0.005,3.5,25,10,125,https://doi.org/10.1039/C8TB01132J
101,Fe2O3,peroxidase,7,12.3,13.3,14.3,naked,0,0,0,0.0997,0.00052,TMB + H2O2,0.02,1.1,500,0.0625,3.5,25,10,125,https://doi.org/10.1039/C9TB00989B
102,Fe2O3,peroxidase,7,12.3,13.3,14.3,naked,0,0,0,144.3,0.0000184,H2O2 + TMB,0.1,700,0.7,0.0625,3.5,25,10,125,https://doi.org/10.1039/C9TB00989B
103,Fe2O3,peroxidase,5,11.7,12.7,13.7,naked,0,0,0,0.5304,0.0000543,TMB + H2O2,0.03,1.2,500,0.0625,3.5,25,,144,https://doi.org/10.1039/C9TB00989B
104,Fe2O3,peroxidase,5,11.7,12.7,13.7,naked,0,0,0,127.92,0.0000377,H2O2 + TMB,0.1,700,0.7,0.0625,3.5,25,,144,https://doi.org/10.1039/C9TB00989B
105,Fe2O3,peroxidase,5,110,110,110,naked,0,0,0,0.768,0.000005,TMB + H2O2,0.2,5,880,0.00479,4,37,,43,https://doi.org/10.1039/C1CY00124H
106,Fe2O3,peroxidase,5,100,100,100,naked,0,0,0,0.957,0.0000063,TMB + H2O2,0.2,5,880,0.00479,4,37,,47,https://doi.org/10.1039/C1CY00124H
107,Fe2O3,peroxidase,5,380,31,31,naked,0,0,0,0.257,0.0000165,TMB + H2O2,0.2,5,880,0.00479,4,37,,55,https://doi.org/10.1039/C1CY00124H
108,Fe2O3,peroxidase,5,330,30,30,naked,0,0,0,0.317,0.0000153,TMB + H2O2,0.2,5,880,0.00479,4,37,,82,https://doi.org/10.1039/C1CY00124H
109,Fe2O3,peroxidase,5,278,30,30,naked,0,0,0,0.518,0.0000106,TMB + H2O2,0.2,5,880,0.00479,4,37,,111,https://doi.org/10.1039/C1CY00124H
110,Fe3O4,peroxidase,7,300,300,300,naked,0,0,0,0.098,0.0000344,TMB + H2O2,0.05,0.8,530,0.04,3.5,40,,53.99,https://doi.org/10.1038/nnano.2007.260
111,Fe3O4,peroxidase,7,300,300,300,naked,0,0,0,154,0.0000978,H2O2 + TMB,1,2 260.0000,0.816,0.04,3.5,40,,53.99,https://doi.org/10.1038/nnano.2007.260
112,Fe3O4,peroxidase,7,13,13,13,naked,0,0,0,0.374,0.000026,TMB + H2O2,0.1,2,250,0.03,7.4,30,,53.99,https://doi.org/10.1016/j.colsurfb.2017.02.004
113,Fe3O4,peroxidase,7,13,13,13,naked,0,0,0,54.6,0.000018,H2O2 + TMB,1,600,1,0.03,7.4,30,,53.99,https://doi.org/10.1016/j.colsurfb.2017.02.004
114,Fe3O4,peroxidase,7,500,500,500,naked,0,0,0,0.26,0.00000351,TMB + H2O2,0.01,0.8,10,0.05,4,25,,53.99,https://doi.org/10.1021/acs.analchem.9b04116
115,Fe3O4,peroxidase,7,500,500,500,naked,0,0,0,6.66,0.00000129,H2O2 + TMB,0.001,200,0.5,0.05,4,25,,53.99,https://doi.org/10.1021/acs.analchem.9b04116
116,Fe3O4,peroxidase,7,30,30,30,naked,0,0,0,0.295,0.0000072,TMB + H2O2,0.05,1,10,0.05,4,25,,,https://doi.org/10.1021/jacs.7b00601
117,Fe3O4,peroxidase,7,30,30,30,naked,0,0,0,0.27,0.000035,ABTS + H2O2,0.05,1,10,0.05,4,25,,,https://doi.org/10.1021/jacs.7b00601
118,Fe3O4,peroxidase,7,8.1,8.1,8.1,naked,0,0,0,0.233,0.000176,TMB + H2O2,0.01,1.7,663.8,0.00132,3.6,25,39.31,,https://doi.org/10.1021/am405009f
119,Fe3O4,peroxidase,7,8.1,8.1,8.1,naked,0,0,0,479.91,0.000275,H2O2 + TMB,0.001,700,1.653,0.00132,3.6,25,39.31,,https://doi.org/10.1021/am405009f
120,Co3O4,peroxidase,7,7.2,7.2,7.2,naked,0,0,0,0.103,0.000256,TMB + H2O2,0.01,1.7,663.8,0.00132,3.6,25,34.25,,https://doi.org/10.1021/am405009f
121,Co3O4,peroxidase,7,7.2,7.2,7.2,naked,0,0,0,173.51,0.000189,H2O2 + TMB,0.001,700,1.653,0.00132,3.6,25,34.25,,https://doi.org/10.1021/am405009f
122,NiO,peroxidase,7,15,15,15,naked,0,0,0,0.018,0.000024,TMB + H2O2,0.05,0.2,100,0.1904762,4,30,,113.71,https://doi.org/10.1039/C4TB00968A
123,NiO,peroxidase,7,15,15,15,naked,0,0,0,1.77,no,H2O2 + TMB,10,75,10,0.1904762,4,30,,113.71,https://doi.org/10.1039/C4TB00968A
124,Co3O4/CeO2,peroxidase,7,4800,250,250,naked,0,0,0,0.36,no,TMB + H2O2,0.01,0.2,880,3,4,25,,,https://doi.org/10.1016/j.snb.2019.01.068
125,Co3O4/CeO2,peroxidase,7,4800,250,250,naked,0,0,0,132.21,0.0000434,H2O2 + TMB,880,880,15,3,4,25,,,https://doi.org/10.1016/j.snb.2019.01.068
126,Co3O4,peroxidase,7,150,40,25,naked,poly(N-Vinylpyrrolidone),0,,0.51,0.0001241,TMB + H2O2,1,3,1.2,3,6,30,,,https://doi.org/10.1016/j.snb.2019.01.068
127,Co3O4,peroxidase,7,78,23,15.5,naked,poly(N-Vinylpyrrolidone),0,,140.56,0.0000343,H2O2 + TMB,50,500,0.8,3,6,30,,,https://doi.org/10.1016/j.snb.2019.01.068
128,CeO2,peroxidase,7,6,6,6,naked,poly(N-Vinylpyrrolidone),0,,0.42,0.0001374,TMB + H2O2,1,3,1.2,3,6,30,,,https://doi.org/10.1016/j.snb.2019.01.068
129,CeO2,peroxidase,7,6,6,6,naked,poly(N-Vinylpyrrolidone),0,,138.31,0.0000398,H2O2 + TMB,50,500,0.8,3,6,30,,,https://doi.org/10.1016/j.snb.2019.01.068
130,Co3O4,peroxidase,7,8.3,8.3,8.3,naked,0,0,0,0.063,0.000019,TMB + H2O2,0.01,2.7,100,0.02,0,25,,,https://doi.org/10.1039/C6NR00860G
131,Co3O4,peroxidase,7,8.3,8.3,8.3,naked,0,0,0,0.61,0.000032,OPD + H2O2,0.02,2.7,100,0.02,0,25,,,https://doi.org/10.1039/C6NR00860G
132,Co3O4,peroxidase,7,31.1,31.1,31.1,naked,poly(N-Vinylpyrrolidone),0,1300000,0.079,no,H2O2 + TMB,0.0003,0.0052,0.006,0.0108761,4,40,,25.5,https://doi.org/10.1016/j.apsusc.2016.12.067
133,Co3O4,peroxidase,7,31.1,31.1,31.1,naked,poly(N-Vinylpyrrolidone),0,1300000,0.015,no,TMB + H2O2,0.0003,0.0062,0.005,0.0108761,4,40,,25.5,https://doi.org/10.1016/j.apsusc.2016.12.067
134,Co3O4,peroxidase,7,48.1,48.1,48.1,naked,poly(N-Vinylpyrrolidone),0,1300000,0.091,no,H2O2 + TMB,0.0003,0.0052,0.006,0.0108761,4,40,,10.5,https://doi.org/10.1016/j.apsusc.2016.12.067
135,Co3O4,peroxidase,7,48.1,48.1,48.1,naked,poly(N-Vinylpyrrolidone),0,1300000,0.013,no,TMB + H2O2,0.0003,0.0062,0.005,0.0108761,4,40,,10.5,https://doi.org/10.1016/j.apsusc.2016.12.067
136,Co3O4,peroxidase,7,26.9,26.9,26.9,naked,poly(N-Vinylpyrrolidone),0,1300000,0.0262,no,H2O2 + TMB,0.0003,0.0052,0.006,0.0108761,4,40,,33.8,https://doi.org/10.1016/j.apsusc.2016.12.067
